BMRBid or DOI,Title,Simulation available,Sequence length
BMRBid16483,Fusion construct of CR17 from LRP-1 and ApoE residues 130-149,No,103
BMRBid5505,Backbone Dynamics of Reduced Plastocyanin from the Cyanobacterium Anabaena variabilis: Regions Involved in Electron Transfer have Enhanched Mobility,No,105
BMRBid5858,Characterization of us-ms Dynamics of Proteins Using a Combined Analysis of 15N NMR Relaxation and Chemical Shift: Conformational Exchange in Plastocyanin Induced by Histidine Protonations,No,106
BMRBid15795,NMR structure of the c-terminal domain of a multiprotein bridging factor 1 (MBF1) of Trichoderma reesei,No,107
BMRBid16426,"NMR-derived structure of residues 29-138 of murine Ets-1, containing the PNT domain, along with phosphorylated Thr38 and Ser41",No,113
BMRBid6060,"1H, 13C, and 15N Chemical Shift Assignments for a complex of PDZ2 from PTP-BL with the C-terminus of APC (adenomatous polyposis coli)",No,114
BMRBid6092,"1H, 13C, and 15N Chemical Shift Assignments for a complex of PDZ2 from PTP-BL with the C-terminus of RIL (reversion induced LIM)",No,114
BMRBid17306,NRC consensus ankyrin repeat protein backbone and sidechain assignments,No,115
BMRBid16485,Solution structure of the THAP zinc finger of THAP1 in complex with its DNA target,No,119
BMRBid51126,Resonance assignment of the Shank1 PDZ domain,No,119
BMRBid15254,Backbone Dynamics of Intramolecular Complex,No,121
BMRBid27915,NFkappaB p50DD homodimer,No,121
BMRBid27916,p50 heterodimer,No,121
BMRBid16639,Structure of a complex between domain V of beta2-glycoprotein I and the fourth ligand-binding module from LDLR determined with Haddock.,No,125
BMRBid15703,Soluble form of human earliest activation antigen of leukocytes CD69,No,130
BMRBid50553,15N relaxation measurements of an FG Nucleoporin in crowded conditions,No,133
BMRBid5841,"15N T1 and T2 relaxation rates, 1H{15N} NOE, and Hydrogen/Deuterium exchange data of kinase-interacting FHA domain of Arabidopsis kinase associasted protein phosphatase",No,139
BMRBid25077,"Backbone 1H, 13C, and 15N Chemical Shift Assignments for the PDZ domain and the linker of the Protein Tyrosine phosphatase non-receptor type 4",No,140
BMRBid52093,1H-15N-BEST-TROSY spectra for alpha-synuclein,No,140
BMRBid5991,"Backbone and Sidechain 1H, 13C, and 15N Chemical Shift Assignments and Backbone 15N Relaxation Parameters for Murine Ets-1 deltaN301",No,140
BMRBid15766,human calpastatin Domain 1,No,141
BMRBid51415,Bromodomain Interactions with Acetylated Histone 4 Peptides in the Tandem Domain BRD4 -- Effects on Domain Dynamics and Internal Flexibility,No,141
BMRBid19117,NMR solution structure ensemble of 3-4D mutant domain 11 IGF2R in complex with IGF2 (domain 11 structure only),No,142
BMRBid19153,NMR solution structure ensemble of 3-4D mutant domain 11 IGF2R,No,142
BMRBid26525,"Structure, Dynamics, and Kinetics of Weak Protein Protein Complexes from NMR Spin Relaxation Measurements of Titrated Solutions",No,147
BMRBid19949,The proline-rich region of 18.5-kDa myelin basic protein requires long-range interactions with residues upstream to interact with the SH3-domain of Fyn,No,150
BMRBid26823,"Backbone 1H, 13C, and 15N Chemical Shift Assignments, HNHA scalar coupling, and 15N backbone relaxation data for TDP-43 C-terminal domain wild type",No,151
BMRBid6474,The 15N relaxation data and backbone dynamics results of CLV1 pT868 bound KI-FHA from KAPP,No,152
BMRBid16737,"1H,13C and 15N chemical shift assignment for NMB1343 apoprotein",No,153
BMRBid26791,"Backbone 1H, 13C, and 15 N Chemical Shift Assignment for human Langerin CRD",No,157
BMRBid7415,Evidence of reciprocical reorientation of the catalytic and hemopexin-like domains of full-length MMP-12,No,160
BMRBid27887,Backbone (1H and 15N) Chemical Shift Assignments and Relaxation Parameters for the low complexity domain of FUS in the condensed phase,No,163
BMRBid4364,Dynamics of Stromelysin/Inhibitor Interactions Studied by 15N NMR Relaxation Measurements: Comparison of Ligand Binding to the S1-S3 and S1-S3PSubsites,No,166
BMRBid4365,Dynamics of Stromelysin/Inhibitor Interactions Studied by 15N NMR Relaxation Measurements: Comparison of Ligand Binding to the S1-S3 and S1-S3 Subsites,No,166
BMRBid4366,Dynamics of Stromelysin/Inhibitor Interactions Studied by 15N NMR Relaxation Measurements: Comparison of Ligand Binding to the S1-S3 and S1-S3 Subsites,No,166
BMRBid7219,NMR Data for the Human Ubiquitin-Conjugating Enzyme Variant hUev1a,No,170
BMRBid18388,"Solution structure, dynamics and binding studies of CtCBM11",No,172
BMRBid18389,"Solution structure, dynamics and binding studies of CtCBM11",No,172
BMRBid18903,Relaxation study of Delta subunit of RNA polymerase from Bacillus subtilis,No,172
BMRBid19284,Relaxation data of the delta subunit of RNA polymerase from Bacillus subtilis,No,172
BMRBid27245,Backbone 15N relaxation data for c-teminal domain of delta subunit of RNA polymerase from bacillus subtilis,No,173
BMRBid17701,"20 NMR solution structures of Bacillus subtilis L,D-transpeptidase refined in water",No,175
BMRBid18037,"NMR STRUCTURE OF THE IMIPENEM-ACYLATED L,D-TRANSPEPTIDASE FROM BACILLUS SUBTILIS",No,175
BMRBid27179,"Backbone 1H, 13C, and 15N Chemical Shift Assignments for the Hepatitis B Virus X protein (HBx)",No,177
BMRBid28058,NMR assignment of self-processing module of FrpC protein of Neisseria meningitidis loaded with calcium ions,No,179
BMRBid18477,NMR dynamics in the C-terminal globular domain of oligosaccharyltransferase,No,180
BMRBid17246,Solution structure of the Streptococcus pneumoniae RrgB pilus backbone D1 domain,No,181
BMRBid6182,Backbone assignments and 15N spin-relaxation rates of Holo-FluA(R95K),No,184
BMRBid16876,"1HN, 1HA, 13CA, 13CB, 13CO and 15N Chemical Shift Assignments for Intrinsically Disordered Dehydrin ERD14",No,185
BMRBid51478,Relaxation peaklist data of TcART,No,194
BMRBid7414,Evidence of reciprocical reorientation of the catalytic and hemopexin-like domains of full-length MMP-12,No,194
BMRBid27063,Degenerate heptads 27-52 of human RNA polymerase II C-terminal domain (DNA-directed RNA polymerase II subunit RPB1): assignments and backbone relaxation,No,201
BMRBid50819,N-terminal domain of p50 subunit of NF-kappaB,No,207
BMRBid50494,RelA-p50 heterodimer,No,208
BMRBid17080,Shc-PTB:biphosphorylated integrin beta3 cytoplasmic tail complex (1:1),No,238
BMRBid26742,"Backbone and Partial Side-Chain Chemical Shift Assignments and Dynamics Measurements for The Catalytic Domain of Human Prolyl Hydroxylase Domain 2 (PHD2) With Zn(II), 2-Oxoglutarate (2OG) and Hypoxia Inducible Factor-alpha (HIF-alpha) Peptide",No,247
BMRBid18461,Chemical shift assignments and backbone dynamics of H-Ras-GppNHp bound to Ras-binding domain of cRaf1.,No,251
BMRBid26788,"1H, 13C and 15N backbone resonance assignments and 15N relaxation data of the PDZ tandem of Whirlin",No,253
BMRBid50438,H2A and H2B tails in nucleosome,No,262
BMRBid6758,NMR assignment of the E.coli cytolethal distending toxin CdtB-II subunit,No,262
BMRBid6881,"1H, 13C and 15N chemical shift assignments of Schistocerca gregaria chymotrypsin inhibitor complexed with bovine chymotrypsin",No,276
BMRBid5153,Backbone dynamics of the N-TIMP-1 bound to MMP-3 catalytic domain,No,299
BMRBid25113,"Domain Orientation and Dynamics of the 38.8 kDa Staphylococcus aureus Hemoglobin Receptor, IsdH",No,336
BMRBid15578,Evidence of reciprocical reorientation of the catalytic and hemopexin-like domains of full-length MMP-12,No,366
BMRBid27594,Backbone resonance assignments for the CsuC-CsuA/B complex.,No,395
BMRBid51418,Bromodomain Interactions with Acetylated Histone 4 Peptides in the Tandem Domain BRD4 -- Effects on Domain Dynamics and Internal Flexibility,No,417
BMRBid50243,"Backbone (1H, 13C and 15N) Chemical Shift Assignments and 15N Relaxation Parameters for protein kinase Inhibitor alpha (PKIa) bound to cAMP-dependent protein kinase A",No,425
BMRBid51413,Bromodomain Interactions with Acetylated Histone 4 Peptides in the Tandem Domain BRD4 -- Effects on Domain Dynamics and Internal Flexibility,No,433
